code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
JA00.34,"Failed medical abortion, without complication",,Medical interventions which fail to terminate the pregnancy without any associated complications.,,,"Failed medical abortion, without complication; Failed medical abortion NOS",chapter18
JA00.35,"Other or unspecified failed attempted abortion, complicated by genital tract or pelvic infection",,,,,"Other or unspecified failed attempted abortion, complicated by genital tract or pelvic infection",chapter18
JA00.36,"Other or unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage",,,,,"Other or unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage",chapter18
JA00.37,"Other or unspecified failed attempted abortion, complicated by embolism",,,,,"Other or unspecified failed attempted abortion, complicated by embolism; abortion complicated by embolism NOS; unspecified type of abortion complicated by embolism",chapter18
JA00.38,"Other or unspecified failed attempted abortion, with other or unspecified complications",,,,,"Other or unspecified failed attempted abortion, with other or unspecified complications; Unspecified type of abortion complicated by shock; Abortion complicated by shock NOS; Abortion with circulatory collapse",chapter18
JA00.39,"Other or unspecified failed attempted abortion, without complication",,,,,"Other or unspecified failed attempted abortion, without complication; Failed attempted abortion NOS; attempted abortion; failed attempted termination of pregnancy; failed induced abortion; failed induction of abortion",chapter18
JA01,Ectopic pregnancy,,Any condition characterised by implantation of the embryo outside the endometrium and endometrial cavity during pregnancy.,ruptured ectopic pregnancy,,,chapter18
JA01.0,Abdominal pregnancy,,A condition characterised by implantation of the embryo within the peritoneal cavity during pregnancy.,,Delivery of viable fetus in abdominal pregnancy; Maternal care for viable fetus in abdominal pregnancy,Abdominal pregnancy; abdomen pregnancy; intraperitoneal pregnancy,chapter18
JA01.1,Tubal pregnancy,,"A condition characterised by implantation of the embryo within the fallopian tube (ampullary, isthmus, interstitium) during pregnancy.",Fallopian pregnancy; Tubal abortion,,Tubal pregnancy; Fallopian pregnancy; Rupture of fallopian tube due to pregnancy; Tubal abortion; ampullar pregnancy; fallopian tube pregnancy; tubal mole,chapter18
JA01.2,Ovarian pregnancy,,A condition characterised by implantation of the embryo within the ovary during pregnancy.,,,Ovarian pregnancy,chapter18
JA02,Molar pregnancy,,"A condition caused by the over-production of cells arising into the placenta during pregnancy. This condition is characterised by a pregnancy with abnormal placental growth in which the chorionic villi become hydropic, trophoblast proliferation and invasion of the uterine tissue within 10-16 weeks after conception, and a placental mass.",,malignant hydatidiform mole,,chapter18
JA02.0,Complete hydatidiform mole,,"A condition caused by the over-production of cells arising into the placenta during pregnancy. This condition is characterised by a pregnancy with abnormal placental growth in which the chorionic villi become hydropic, slight to severe trophoblast proliferation and invasion of the uterine tissue within 10-16 weeks after conception, a placental mass, 25-30% theca lutein cysts, 15-20% persistent trophoblastic disease, 50% uterine size for dates, and vaginal bleeding, nausea, or vomiting. This condition leads to an absent fetus.",classical hydatidiform mole,,Complete hydatidiform mole; classical hydatidiform mole,chapter18
JA02.1,Incomplete or partial hydatidiform mole,,"A condition caused by the over-production of cells arising into the placenta during pregnancy. This condition is characterised by a pregnancy with abnormal placental growth in which the chorionic villi become hydropic, slight to moderate trophoblast proliferation and invasion of the uterine tissue within 10-16 weeks after conception, a placental mass, theca lutein cysts, 1-5% persistent trophoblastic disease, small uterine size for dates, and vaginal bleeding, nausea, or vomiting. This condition leads to some fetal development and a missed abortion.",,,Incomplete or partial hydatidiform mole; PHM - [partial hydatidiform mole]; incomplete hydatidiform mole; partial hydatidiform mole,chapter18
JA03,Missed abortion,,"A condition caused by genetic abnormality, abnormal cell division, or poor quality ovum or sperm. This condition is characterised by a failed pregnancy, immature fetal or embryonic death that is not expelled from the uterus for at least 8 weeks, and diminished uterine size. This condition may also present with maternal infection, blood clotting, fetal calcification, and resorption of conception products. Confirmation is by imaging.",Early fetal death with retention of dead fetus,Blighted ovum or nonhydatidiform mole; Molar pregnancy,Missed abortion; Early fetal death with retention of dead fetus; MA - [missed abortion]; early dead fetus retained; early fetal death with retention; missed miscarriage; silent miscarriage,chapter18
JA04,Blighted ovum or nonhydatidiform mole,,"A condition caused by genetic abnormality, abnormal cell division, or poor quality ovum or sperm. This condition is characterised by a failed pregnancy, implantation of a fertilized egg without development into an embryo, haemorrhage into the decidua, and adjacent tissue necrosis.",Pathological ovum,,Blighted ovum or nonhydatidiform mole; Pathological ovum; anembryonic pregnancy; blighted ovum; blood mole; breus mole; carneous mole; fleshy mole; intrauterine mole NOS; molar pregnancy NEC; nonhydatidiform mole; retention of dead ovum,chapter18
JA05,"Complications following abortion, ectopic or molar pregnancy",,"Any complication affecting pregnant females, caused by or subsequent to abortion, ectopic, and molar pregnancy.",,,,chapter18
JA05.0,"Genital tract or pelvic infection following abortion, ectopic or molar pregnancy",,,,"Urinary tract infection, site not specified; septic or septicopyaemic embolism","Genital tract or pelvic infection following abortion, ectopic or molar pregnancy; infective abortion NOS; Cellulitis of pelvis following abortion; pelvic cellulitis following abortion; Endometritis following molar or ectopic pregnancy; Endometriosis following pregnancy with abortive outcome; Oophoritis following pregnancy with abortive outcome; Parametritis following pregnancy with abortive outcome; Pelvic peritonitis following pregnancy with abortive outcome; Peritoneal abscess following ectopic or molar pregnancy; Salpingitis following pregnancy with abortive outcome; Salpingo-oophoritis following molar or ectopic pregnancy; Acute salpingo-oophoritis following ectopic or molar pregnancy; Salpingo-oophoritis following pregnancy with abortive outcome; Sepsis following abortion; septic abortion; Septic shock following molar or ectopic pregnancy; Thrombophlebitis of pelvis following abortion",chapter18
JA05.1,"Delayed or excessive haemorrhage following abortion, ectopic or molar pregnancy",,,,,"Delayed or excessive haemorrhage following abortion, ectopic or molar pregnancy; Abortion with intravascular haemolysis; Afibrinogenaemia following pregnancy with abortive outcome; Defibrination syndrome following pregnancy with abortive outcome; Defibrination syndrome following molar or ectopic pregnancy; Disseminated intravascular coagulation following pregnancy with abortive outcome; Intravascular coagulation following pregnancy with abortive outcome",chapter18
JA05.2,"Embolism following abortion, ectopic or molar pregnancy",,,,,"Embolism following abortion, ectopic or molar pregnancy; Air embolism following pregnancy with abortive outcome; Amniotic fluid embolism following pregnancy with abortive outcome; Blood clot embolism following abortion; Blood-clot embolism following pregnancy with abortive outcome; Unspecified embolism following pregnancy with abortive outcome; Embolism NOS following pregnancy with abortive outcome; Pulmonary embolism following pregnancy with abortive outcome; Pyaemic embolism following pregnancy with abortive outcome; Pyemic embolism following molar or ectopic pregnancy; Septic embolism following molar or ectopic pregnancy; Septic or septicopyaemic embolism following pregnancy with abortive outcome; Soap embolism following pregnancy with abortive outcome",chapter18
JA05.3,"Shock following abortion, ectopic or molar pregnancy",,,,septic shock,"Shock following abortion, ectopic or molar pregnancy; Circulatory collapse following molar or ectopic pregnancy; Circulatory collapse following pregnancy with abortive outcome; Shock following molar or ectopic pregnancy; Shock following pregnancy with abortive outcome; Postoperative shock following pregnancy with abortive outcome",chapter18
JA05.4,"Renal failure following abortion, ectopic or molar pregnancy",,,,,"Renal failure following abortion, ectopic or molar pregnancy; Oliguria following molar or ectopic pregnancy; Oliguria following pregnancy with abortive outcome; Renal failure following molar or ectopic pregnancy; renal shutdown following molar or ectopic pregnancy; Acute renal failure following molar or ectopic pregnancy; Renal failure following pregnancy with abortive outcome; Acute renal failure following pregnancy with abortive outcome; renal shutdown following pregnancy with abortive outcome; Renal tubular necrosis following pregnancy with abortive outcome; Tubular kidney necrosis following ectopic or molar pregnancy; Uraemia following molar or ectopic pregnancy; Uraemia following pregnancy with abortive outcome",chapter18
JA05.5,"Metabolic disorders following abortion, ectopic or molar pregnancy",,,,,"Metabolic disorders following abortion, ectopic or molar pregnancy; Electrolyte imbalance following pregnancy with abortive outcome",chapter18
JA05.6,"Damage to pelvic organs and tissues following abortion, ectopic or molar pregnancy",,,,,"Damage to pelvic organs and tissues following abortion, ectopic or molar pregnancy; Laceration, perforation, tear or chemical damage of bladder following pregnancy with abortive outcome; Laceration, perforation, tear or chemical damage of bowel following pregnancy with abortive outcome; Laceration, perforation, tear or chemical damage of broad ligament following pregnancy with abortive outcome; Laceration, perforation, tear or chemical damage of cervix following pregnancy with abortive outcome; Laceration, perforation, tear or chemical damage of periurethral tissue following pregnancy with abortive outcome; Laceration, perforation, tear or chemical damage of uterus following pregnancy with abortive outcome; Rupture of bladder following abortion; Rupture of urethra following abortion; Laceration with abortion, not elsewhere classified",chapter18
